[19.02.2023 11:53:29 1] Информация о переводе: карта списания='3245245365757676', карта зачисления='3245245365757635', сумма =3253200 RUR', комиссия =32532.0 RUR', результат операции = ok
[19.02.2023 11:54:10 2] Информация о переводе: карта списания='3245245365757676', карта зачисления='3245245365757665', сумма =100000 RUR', комиссия =1000.0 RUR', результат операции = ok
[19.02.2023 11:55:21 3] Информация о переводе: карта списания='3245245365757676', карта зачисления='3245245365757676', сумма =100000 RUR', комиссия =1000.0 RUR', результат операции = ok
[19.02.2023 11:56:10 1] Информация о переводе: карта списания='3245245365757676', карта зачисления='3245245365757676', сумма =200000 RUR', комиссия =2000.0 RUR', результат операции = ok
[19.02.2023 12:04:27 1] Информация о переводе: карта списания='3245245365757676', карта зачисления='3245245365757676', сумма =100000 RUR', комиссия =1000.0 RUR', результат операции = ok
[19.02.2023 12:04:46 1] Информация о переводе: карта списания='3245245365757676', карта зачисления='3245245365757671', сумма =323 RUR', комиссия =3.23 RUR', результат операции = ok
[19.02.2023 12:08:02 1] Информация о переводе: карта списания='3245245365757676', карта зачисления='3245245365757676', сумма =1234 RUR', комиссия =12.34 RUR', результат операции = ok
[19.02.2023 12:09:03 2] Информация о переводе: карта списания='2142565756876989', карта зачисления='2142565756876989', сумма =1324 RUR', комиссия =13.24 RUR', результат операции = ok
[19.02.2023 12:11:22 3] Информация о переводе: карта списания='2142565756876989', карта зачисления='2142565756876989', сумма =14221 RUR', комиссия =142.21 RUR', результат операции = ok
[21.02.2023 15:03:36 1] Информация о переводе: карта списания='4235456363463464', карта зачисления='4235456363463443', сумма =1234 RUR', комиссия =12.34 RUR', результат операции = ok
[21.02.2023 15:05:50 1] Информация о переводе: карта списания='3463463546354634', карта зачисления='3463463546354746', сумма =1421241 RUR', комиссия =14212.41 RUR', результат операции = ok
[21.02.2023 15:09:28 1] Информация о переводе: карта списания='2342352352353253', карта зачисления='3253252353253253', сумма =1243 RUR', комиссия =12.43 RUR', результат операции = ok
[21.02.2023 15:12:55 2] Информация о переводе: карта списания='5364567476475676', карта зачисления='8655685685685685', сумма =53456 RUR', комиссия =534.5600000000001 RUR', результат операции = ok
[21.02.2023 15:23:05 1] Информация о переводе: карта списания='5344444444444444', карта зачисления='5433333333333333', сумма =142 RUR', комиссия =1.42 RUR', результат операции = ok
[21.02.2023 16:11:42 1] Информация о переводе: карта списания='3124235235325325', карта зачисления='1432124124124124', сумма =4112 RUR', комиссия =41.12 RUR', результат операции = ok
[21.02.2023 16:12:24 2] Информация о переводе: карта списания='4132323232323232', карта зачисления='3522222222222222', сумма =132412 RUR', комиссия =1324.1200000000001 RUR', результат операции = ok
[21.02.2023 17:30:27 1] Информация о переводе: карта списания='5436546545475453', карта зачисления='3254534634643643', сумма =1244 RUR', комиссия =12.44 RUR', результат операции = ok
[21.02.2023 17:39:18 1] Информация о переводе: карта списания='1324342344444444', карта зачисления='3444444444444444', сумма =312343 RUR', комиссия =3123.4300000000003 RUR', результат операции = ok
[21.02.2023 17:48:28 1] Информация о переводе: карта списания='1233333333333333', карта зачисления='3333333333333333', сумма =1221 RUR', комиссия =12.21 RUR', результат операции = ok
[21.02.2023 17:49:09 1] Информация о переводе: карта списания='1233333333333333', карта зачисления='3333333333333333', сумма =1221 RUR', комиссия =12.21 RUR', результат операции = ok
[21.02.2023 17:50:07 1] Информация о переводе: карта списания='1233333333333333', карта зачисления='3333333333333333', сумма =1221 RUR', комиссия =12.21 RUR', результат операции = ok
[21.02.2023 17:53:33 1] Информация о переводе: карта списания='3333333333333333', карта зачисления='4444444444444444', сумма =13334 RUR', комиссия =133.34 RUR', результат операции = ok
[21.02.2023 17:57:12 1] Информация о переводе: карта списания='3333333333333333', карта зачисления='4444444444444444', сумма =13334 RUR', комиссия =133.34 RUR', результат операции = ok
[21.02.2023 17:57:27 2] Информация о переводе: карта списания='4322222222534343', карта зачисления='5433333333333333', сумма =21421 RUR', комиссия =214.21 RUR', результат операции = ok
[21.02.2023 17:58:46 1] Информация о переводе: карта списания='3124444444444444', карта зачисления='3255555555555555', сумма =322314 RUR', комиссия =3223.14 RUR', результат операции = ok
[21.02.2023 17:59:01 2] Информация о переводе: карта списания='6544446666666666', карта зачисления='4666666666666666', сумма =1244 RUR', комиссия =12.44 RUR', результат операции = ok
[21.02.2023 18:05:57 1] Информация о переводе: карта списания='2533333333333333', карта зачисления='5455555555555555', сумма =325 RUR', комиссия =3.25 RUR', результат операции = ok
[21.02.2023 18:06:19 2] Информация о переводе: карта списания='2533333333333333', карта зачисления='3333333333333444', сумма =3355325 RUR', комиссия =33553.25 RUR', результат операции = ok
[21.02.2023 18:38:51 1] Информация о переводе: карта списания='4365476547547454', карта зачисления='5323232323232323', сумма =5243 RUR', комиссия =52.43 RUR', результат операции = ok
[21.02.2023 18:48:11 1] Информация о переводе: карта списания='5346545555555555', карта зачисления='3244444444444444', сумма =54 RUR', комиссия =0.54 RUR', результат операции = ok
[21.02.2023 18:50:42 1] Информация о переводе: карта списания='5346545555555555', карта зачисления='5346545555555556', сумма =1 RUR', комиссия =0.01 RUR', результат операции = ok
[22.02.2023 21:28:26 1] Информация о переводе: карта списания='1333333333344444', карта зачисления='1333333333344467', сумма =1214 RUR', комиссия =12.14 RUR', результат операции = ok
[22.02.2023 21:33:29 1] Информация о переводе: карта списания='3434343434343434', карта зачисления='3434343434343434', сумма =214241 RUR', комиссия =2142.41 RUR', результат операции = error transfer
[22.02.2023 21:35:50 1] Информация о переводе: карта списания='3434343434343434', карта зачисления='3434343434343433', сумма =214241 RUR', комиссия =2142.41 RUR', результат операции = OK
[22.02.2023 21:42:35 1] Информация о переводе: карта списания='1111111111111112', карта зачисления='2222222222222222', сумма =421 RUR', комиссия =4.21 RUR', результат операции = OK
[22.02.2023 21:42:56 2] Информация о переводе: карта списания='5444444444444444', карта зачисления='3422222222222222', сумма =312 RUR', комиссия =3.12 RUR', результат операции = OK
[23.02.2023 08:39:57 1] Информация о переводе: карта списания='3333333333333333', карта зачисления='4322222222222222', сумма =1324 RUR', комиссия =13.24 RUR', результат операции = OK
